,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"d[1, 88]",0.983,0.23,0.645,1.393,0.003,0.002,6858.0,3672.0,1.0
"d[1, 89]",0.65,0.241,0.243,1.034,0.003,0.002,6272.0,2851.0,1.0
"d[1, 90]",1.03,0.246,0.612,1.407,0.003,0.002,7861.0,3372.0,1.0
"d[1, 91]",0.774,0.258,0.361,1.2,0.003,0.002,7451.0,3243.0,1.0
"d[1, 92]",0.6,0.253,0.17,0.996,0.003,0.003,5698.0,3164.0,1.0
"d[1, 93]",1.099,0.242,0.71,1.5,0.003,0.002,5793.0,3183.0,1.0
"d[1, 94]",0.86,0.273,0.402,1.302,0.003,0.002,7469.0,2948.0,1.0
"d[1, 95]",0.256,0.265,-0.158,0.712,0.004,0.003,5727.0,3194.0,1.0
"d[1, 96]",0.736,0.257,0.332,1.178,0.004,0.003,5031.0,3173.0,1.0
"d[1, 97]",1.401,0.256,0.987,1.831,0.003,0.002,5954.0,2776.0,1.0
"d[1, 98]",0.342,0.29,-0.151,0.796,0.004,0.003,5618.0,2797.0,1.0
"d[1, 99]",0.727,0.264,0.309,1.179,0.003,0.002,7468.0,3365.0,1.0
"c[0, 0]",-0.516,0.164,-0.793,-0.25,0.003,0.002,4032.0,3240.0,1.0
"c[0, 1]",-0.549,0.189,-0.863,-0.241,0.003,0.002,4974.0,3326.0,1.0
"c[0, 2]",0.574,0.167,0.306,0.843,0.002,0.001,7718.0,2673.0,1.0
"c[0, 3]",0.336,0.211,-0.014,0.679,0.003,0.002,5361.0,2974.0,1.0
"c[0, 4]",-0.018,0.174,-0.325,0.245,0.002,0.003,6293.0,3142.0,1.0
"c[0, 5]",0.031,0.16,-0.213,0.312,0.002,0.003,6231.0,2482.0,1.0
"c[0, 6]",0.419,0.171,0.127,0.693,0.002,0.002,7888.0,3161.0,1.0
"c[0, 7]",-0.962,0.23,-1.333,-0.599,0.004,0.003,3453.0,2875.0,1.0
"c[0, 8]",-0.146,0.222,-0.518,0.214,0.003,0.003,4428.0,2888.0,1.0
"c[0, 9]",-0.203,0.19,-0.521,0.101,0.003,0.002,4850.0,3129.0,1.0
"c[0, 10]",0.811,0.167,0.547,1.096,0.002,0.002,6541.0,2473.0,1.0
"c[0, 11]",-0.408,0.212,-0.76,-0.068,0.003,0.003,4230.0,2694.0,1.0
"c[0, 12]",-0.319,0.175,-0.601,-0.032,0.002,0.002,5150.0,3020.0,1.0
"c[0, 13]",-0.185,0.168,-0.444,0.102,0.002,0.002,5056.0,3130.0,1.0
"c[0, 14]",0.172,0.15,-0.076,0.419,0.002,0.002,5810.0,3122.0,1.0
"c[0, 15]",-0.857,0.227,-1.24,-0.507,0.004,0.003,3259.0,2516.0,1.0
"c[0, 16]",0.62,0.161,0.348,0.872,0.002,0.001,7319.0,2654.0,1.0
"c[0, 17]",0.081,0.177,-0.202,0.379,0.002,0.003,5331.0,2414.0,1.0
"c[0, 18]",-0.299,0.19,-0.629,-0.014,0.003,0.002,3854.0,2548.0,1.0
"c[0, 19]",-0.112,0.16,-0.363,0.165,0.002,0.002,5214.0,2635.0,1.0
"c[0, 20]",0.474,0.188,0.17,0.785,0.002,0.002,8800.0,2420.0,1.0
"c[0, 21]",-0.132,0.156,-0.391,0.121,0.002,0.002,5394.0,3187.0,1.0
"c[0, 22]",-0.071,0.177,-0.36,0.22,0.002,0.003,5491.0,3121.0,1.0
"c[0, 23]",-0.407,0.195,-0.722,-0.079,0.003,0.002,4486.0,3116.0,1.0
"c[0, 24]",0.219,0.182,-0.065,0.514,0.002,0.002,7020.0,2930.0,1.0
"c[0, 25]",-1.131,0.234,-1.486,-0.736,0.004,0.003,3473.0,2486.0,1.0
"c[0, 26]",0.061,0.157,-0.187,0.315,0.002,0.002,6504.0,3451.0,1.0
"c[0, 27]",0.378,0.164,0.118,0.657,0.002,0.001,8514.0,2828.0,1.0
"c[0, 28]",0.368,0.169,0.089,0.638,0.002,0.002,6344.0,2719.0,1.0
"c[0, 29]",0.502,0.148,0.252,0.743,0.002,0.002,5104.0,2787.0,1.0
"c[0, 30]",0.328,0.143,0.092,0.564,0.002,0.001,5671.0,3215.0,1.0
"c[0, 31]",-0.672,0.162,-0.928,-0.393,0.002,0.002,4501.0,2786.0,1.0
"c[0, 32]",0.279,0.19,-0.024,0.591,0.002,0.002,7349.0,2774.0,1.0
"c[0, 33]",0.667,0.167,0.395,0.944,0.002,0.001,7260.0,2847.0,1.0
"c[0, 34]",-0.066,0.177,-0.345,0.235,0.002,0.002,6118.0,3313.0,1.0
