,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"H[1, 98]",0.083,0.046,0.013,0.15,0.001,0.0,8671.0,2927.0,1.0
"H[1, 99]",0.199,0.068,0.098,0.314,0.001,0.001,8372.0,2762.0,1.0
"F[0, 0]",0.458,0.055,0.374,0.555,0.001,0.001,5281.0,2690.0,1.0
"F[0, 1]",0.353,0.053,0.261,0.436,0.001,0.001,4909.0,2588.0,1.0
"F[0, 2]",0.093,0.033,0.041,0.145,0.0,0.0,10135.0,2367.0,1.0
"F[0, 3]",0.07,0.029,0.021,0.111,0.0,0.0,11343.0,3085.0,1.0
"F[0, 4]",0.181,0.043,0.111,0.25,0.001,0.0,6977.0,2890.0,1.0
"F[0, 5]",0.214,0.046,0.139,0.287,0.001,0.0,8342.0,2663.0,1.0
"F[0, 6]",0.098,0.033,0.045,0.147,0.0,0.0,8675.0,2483.0,1.0
"F[0, 7]",0.509,0.056,0.414,0.598,0.001,0.001,4448.0,2475.0,1.0
"F[0, 8]",0.127,0.038,0.064,0.186,0.0,0.0,8094.0,2324.0,1.0
"F[0, 9]",0.189,0.046,0.117,0.264,0.0,0.0,9009.0,2842.0,1.0
"F[0, 10]",0.083,0.03,0.033,0.127,0.0,0.0,11221.0,2531.0,1.0
"F[0, 11]",0.217,0.047,0.143,0.294,0.001,0.0,4792.0,2738.0,1.0
"F[0, 12]",0.286,0.05,0.203,0.368,0.001,0.0,6030.0,2797.0,1.0
"F[0, 13]",0.258,0.05,0.18,0.34,0.001,0.0,6881.0,3047.0,1.0
"F[0, 14]",0.195,0.045,0.125,0.27,0.001,0.0,7141.0,2463.0,1.0
"F[0, 15]",0.447,0.055,0.348,0.532,0.001,0.001,4321.0,2414.0,1.0
"F[0, 16]",0.111,0.035,0.051,0.163,0.0,0.0,8524.0,2627.0,1.0
"F[0, 17]",0.143,0.039,0.08,0.203,0.0,0.0,7421.0,2677.0,1.0
"F[0, 18]",0.226,0.048,0.146,0.305,0.001,0.0,6003.0,2218.0,1.0
"F[0, 19]",0.254,0.049,0.168,0.328,0.001,0.0,6178.0,2642.0,1.0
"F[0, 20]",0.075,0.028,0.03,0.12,0.0,0.0,9996.0,2990.0,1.0
"F[0, 21]",0.267,0.048,0.195,0.351,0.001,0.0,5877.0,2171.0,1.0
"F[0, 22]",0.172,0.043,0.106,0.244,0.001,0.0,7275.0,2635.0,1.0
"F[0, 23]",0.277,0.049,0.193,0.351,0.001,0.0,5553.0,2693.0,1.0
"F[0, 24]",0.105,0.035,0.05,0.161,0.0,0.0,10771.0,2842.0,1.0
"F[0, 25]",0.607,0.054,0.513,0.689,0.001,0.001,4042.0,2606.0,1.0
"F[0, 26]",0.202,0.045,0.127,0.273,0.001,0.0,7633.0,3108.0,1.0
"F[0, 27]",0.121,0.036,0.061,0.18,0.0,0.0,10378.0,2448.0,1.0
"F[0, 28]",0.111,0.036,0.052,0.166,0.0,0.0,8897.0,2950.0,1.0
"F[0, 29]",0.181,0.043,0.107,0.246,0.0,0.0,11452.0,2532.0,1.0
"F[0, 30]",0.245,0.046,0.17,0.321,0.001,0.0,5333.0,2238.0,1.0
"F[0, 31]",0.617,0.054,0.528,0.704,0.001,0.001,4577.0,2578.0,1.0
"F[0, 32]",0.093,0.034,0.039,0.146,0.0,0.0,8505.0,2694.0,1.0
"F[0, 33]",0.099,0.032,0.048,0.149,0.0,0.0,8896.0,2531.0,1.0
"F[0, 34]",0.172,0.043,0.101,0.239,0.0,0.0,7202.0,2390.0,1.0
"F[0, 35]",0.402,0.054,0.312,0.489,0.001,0.0,7151.0,2502.0,1.0
"F[0, 36]",0.115,0.034,0.056,0.168,0.0,0.0,8118.0,3034.0,1.0
"F[0, 37]",0.343,0.053,0.251,0.425,0.001,0.0,6768.0,2604.0,1.0
"F[0, 38]",0.148,0.039,0.086,0.211,0.0,0.0,8285.0,2666.0,1.0
"F[0, 39]",0.132,0.038,0.074,0.194,0.0,0.0,7993.0,2591.0,1.0
"F[0, 40]",0.184,0.043,0.114,0.255,0.001,0.0,7191.0,2738.0,1.0
"F[0, 41]",0.249,0.047,0.162,0.319,0.001,0.0,6140.0,2724.0,1.0
"F[0, 42]",0.194,0.042,0.122,0.257,0.0,0.0,8075.0,2886.0,1.0
"F[0, 43]",0.271,0.048,0.196,0.353,0.001,0.0,6939.0,2843.0,1.0
"F[0, 44]",0.073,0.028,0.028,0.115,0.0,0.0,8960.0,2703.0,1.0
"F[0, 45]",0.153,0.039,0.089,0.217,0.0,0.0,6913.0,3012.0,1.0
"F[0, 46]",0.293,0.051,0.208,0.377,0.001,0.001,4620.0,2763.0,1.0
"F[0, 47]",0.22,0.048,0.143,0.297,0.001,0.0,6252.0,2820.0,1.0
"F[0, 48]",0.088,0.032,0.037,0.135,0.0,0.0,8293.0,2570.0,1.0
"F[0, 49]",0.02,0.015,0.0,0.04,0.0,0.0,8646.0,2300.0,1.0
"F[0, 50]",0.138,0.037,0.08,0.198,0.0,0.0,11109.0,3142.0,1.0
"F[0, 51]",0.166,0.042,0.102,0.236,0.0,0.0,8739.0,2823.0,1.0
"F[0, 52]",0.072,0.029,0.025,0.117,0.0,0.0,9136.0,2380.0,1.0
"F[0, 53]",0.262,0.05,0.177,0.339,0.001,0.0,5745.0,2720.0,1.0
"F[0, 54]",0.095,0.033,0.044,0.148,0.0,0.0,9803.0,2823.0,1.0
"F[0, 55]",0.273,0.051,0.193,0.359,0.001,0.0,7250.0,2241.0,1.0
"F[0, 56]",0.332,0.052,0.242,0.414,0.001,0.001,3885.0,2278.0,1.0
"F[0, 57]",0.251,0.049,0.17,0.327,0.001,0.0,6503.0,2709.0,1.0
"F[0, 58]",0.217,0.047,0.139,0.287,0.001,0.0,5801.0,2417.0,1.0
"F[0, 59]",0.32,0.052,0.24,0.412,0.001,0.001,4118.0,2693.0,1.0
"F[0, 60]",0.096,0.031,0.046,0.146,0.0,0.0,8849.0,2643.0,1.0
"F[0, 61]",0.408,0.055,0.319,0.5,0.001,0.001,4205.0,2372.0,1.0
"F[0, 62]",0.137,0.04,0.072,0.198,0.0,0.0,7347.0,2737.0,1.0
"F[0, 63]",0.067,0.027,0.025,0.11,0.0,0.0,9960.0,2318.0,1.0
"F[0, 64]",0.138,0.04,0.07,0.197,0.0,0.0,8588.0,2796.0,1.0
"F[0, 65]",0.298,0.051,0.21,0.378,0.001,0.001,5259.0,2564.0,1.0
"F[0, 66]",0.433,0.056,0.341,0.524,0.001,0.001,5406.0,2652.0,1.0
"F[0, 67]",0.076,0.03,0.029,0.122,0.0,0.0,10667.0,2903.0,1.0
"F[0, 68]",0.141,0.038,0.083,0.203,0.0,0.0,8903.0,2735.0,1.0
"F[0, 69]",0.146,0.04,0.08,0.209,0.0,0.0,6990.0,2474.0,1.0
"F[0, 70]",0.429,0.055,0.343,0.526,0.001,0.001,6080.0,2711.0,1.01
"F[0, 71]",0.583,0.056,0.499,0.683,0.001,0.001,4137.0,2477.0,1.0
"F[0, 72]",0.602,0.055,0.517,0.699,0.001,0.001,4533.0,2686.0,1.0
"F[0, 73]",0.146,0.04,0.08,0.208,0.0,0.0,9663.0,2720.0,1.0
"F[0, 74]",0.23,0.047,0.149,0.303,0.001,0.0,5826.0,2639.0,1.0
"F[0, 75]",0.482,0.056,0.396,0.579,0.001,0.001,4211.0,2371.0,1.0
"F[0, 76]",0.401,0.054,0.309,0.487,0.001,0.001,5981.0,2516.0,1.0
"F[0, 77]",0.207,0.044,0.135,0.277,0.001,0.0,6034.0,2801.0,1.0
"F[0, 78]",0.21,0.046,0.135,0.285,0.001,0.0,6578.0,2468.0,1.0
"F[0, 79]",0.131,0.037,0.07,0.188,0.0,0.0,8899.0,2932.0,1.0
"F[0, 80]",0.119,0.035,0.061,0.174,0.0,0.0,9459.0,2822.0,1.0
"F[0, 81]",0.07,0.028,0.024,0.113,0.0,0.0,9659.0,2598.0,1.0
"F[0, 82]",0.119,0.036,0.063,0.178,0.0,0.0,10274.0,2540.0,1.0
"F[0, 83]",0.087,0.031,0.039,0.137,0.0,0.0,10217.0,2532.0,1.0
"F[0, 84]",0.127,0.037,0.062,0.183,0.0,0.0,6221.0,2853.0,1.0
"F[0, 85]",0.251,0.047,0.17,0.325,0.001,0.0,6049.0,2662.0,1.0
"F[0, 86]",0.179,0.042,0.112,0.248,0.0,0.0,7504.0,2899.0,1.0
"F[0, 87]",0.041,0.021,0.009,0.073,0.0,0.0,8016.0,2467.0,1.0
"F[0, 88]",0.081,0.03,0.032,0.128,0.0,0.0,9463.0,2679.0,1.0
"F[0, 89]",0.09,0.03,0.041,0.137,0.0,0.0,11432.0,2910.0,1.0
"F[0, 90]",0.196,0.043,0.124,0.264,0.0,0.0,7761.0,3017.0,1.0
"F[0, 91]",0.165,0.041,0.098,0.233,0.0,0.0,7850.0,2464.0,1.0
