,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"c[0, 68]",0.203,0.17,-0.059,0.494,0.002,0.002,5191.0,3288.0,1.0
"c[0, 69]",0.038,0.184,-0.251,0.351,0.003,0.002,4637.0,3010.0,1.0
"c[0, 70]",-0.336,0.159,-0.604,-0.083,0.002,0.002,4219.0,2854.0,1.0
"c[0, 71]",-1.016,0.248,-1.403,-0.604,0.005,0.004,2759.0,2282.0,1.0
"c[0, 72]",-0.85,0.198,-1.16,-0.518,0.003,0.003,3280.0,2649.0,1.0
"c[0, 73]",0.352,0.155,0.081,0.584,0.002,0.002,6193.0,3224.0,1.0
"c[0, 74]",-0.009,0.165,-0.278,0.259,0.002,0.002,4940.0,3246.0,1.0
"c[0, 75]",-0.856,0.241,-1.255,-0.475,0.004,0.003,3130.0,2287.0,1.0
"c[0, 76]",0.026,0.139,-0.2,0.252,0.002,0.002,4776.0,3109.0,1.0
"c[0, 77]",-0.034,0.174,-0.32,0.255,0.003,0.003,4183.0,2695.0,1.0
"c[0, 78]",-0.118,0.18,-0.414,0.174,0.003,0.002,4603.0,3394.0,1.0
"c[0, 79]",0.171,0.178,-0.114,0.466,0.003,0.002,4915.0,3452.0,1.0
"c[0, 80]",0.481,0.167,0.209,0.754,0.002,0.002,5867.0,3009.0,1.0
"c[0, 81]",0.707,0.186,0.396,1.002,0.002,0.002,6228.0,2683.0,1.0
"c[0, 82]",0.479,0.162,0.216,0.743,0.002,0.001,7151.0,3209.0,1.0
"c[0, 83]",0.461,0.186,0.143,0.76,0.002,0.002,5682.0,2887.0,1.0
"c[0, 84]",-0.145,0.234,-0.521,0.244,0.004,0.003,4461.0,2551.0,1.0
"c[0, 85]",-0.307,0.198,-0.648,-0.006,0.003,0.003,3973.0,3036.0,1.0
"c[0, 86]",0.101,0.165,-0.161,0.377,0.002,0.002,4651.0,3238.0,1.0
"c[0, 87]",1.073,0.241,0.662,1.457,0.004,0.003,4454.0,2753.0,1.0
"c[0, 88]",0.636,0.177,0.359,0.933,0.002,0.002,6579.0,2931.0,1.0
"c[0, 89]",0.677,0.174,0.397,0.964,0.002,0.001,7795.0,2723.0,1.0
"c[0, 90]",0.227,0.155,-0.045,0.471,0.002,0.002,5875.0,2955.0,1.0
"c[0, 91]",0.44,0.158,0.166,0.685,0.002,0.002,5981.0,3294.0,1.0
"c[0, 92]",0.456,0.15,0.2,0.704,0.002,0.002,5250.0,2443.0,1.0
"c[0, 93]",0.673,0.158,0.396,0.913,0.002,0.001,6247.0,2632.0,1.0
"c[0, 94]",-0.858,0.237,-1.223,-0.457,0.004,0.003,3274.0,2585.0,1.0
"c[0, 95]",0.235,0.203,-0.091,0.568,0.003,0.002,5827.0,2909.0,1.0
"c[0, 96]",0.399,0.187,0.095,0.715,0.002,0.002,5650.0,2720.0,1.0
"c[0, 97]",-0.865,0.248,-1.244,-0.453,0.005,0.004,3141.0,2220.0,1.0
"c[0, 98]",-0.053,0.165,-0.337,0.209,0.003,0.002,4110.0,3249.0,1.0
"c[0, 99]",0.786,0.171,0.514,1.079,0.002,0.002,5626.0,2792.0,1.0
"c[1, 0]",0.574,0.148,0.324,0.812,0.002,0.002,5154.0,2740.0,1.0
"c[1, 1]",0.227,0.158,-0.015,0.504,0.002,0.002,4921.0,3587.0,1.0
"c[1, 2]",0.758,0.155,0.508,1.019,0.002,0.002,4983.0,3019.0,1.0
"c[1, 3]",0.548,0.15,0.289,0.786,0.002,0.002,5387.0,3223.0,1.0
"c[1, 4]",0.701,0.156,0.456,0.973,0.002,0.001,6915.0,3268.0,1.0
"c[1, 5]",0.615,0.153,0.373,0.872,0.002,0.001,5731.0,3156.0,1.0
"c[1, 6]",1.0,0.164,0.721,1.256,0.002,0.002,5641.0,3251.0,1.0
"c[1, 7]",0.308,0.151,0.062,0.553,0.002,0.002,5709.0,2818.0,1.0
"c[1, 8]",0.717,0.154,0.45,0.954,0.002,0.001,6282.0,3164.0,1.0
