,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"yf[1, 15]",8.653,3.537,3.0,14.0,0.049,0.036,5259.0,3866.0,1.0
"yf[1, 16]",17.565,4.841,10.0,25.0,0.069,0.05,4958.0,3617.0,1.0
"yf[1, 17]",14.745,4.52,7.0,21.0,0.064,0.047,5055.0,3746.0,1.0
"yf[1, 18]",7.408,3.341,2.0,12.0,0.046,0.034,5172.0,4152.0,1.0
"yf[1, 19]",14.965,4.565,8.0,22.0,0.06,0.045,5879.0,3534.0,1.0
"yf[1, 20]",7.538,3.343,2.0,12.0,0.048,0.035,4828.0,3715.0,1.0
"yf[1, 21]",12.4,4.274,5.0,18.0,0.06,0.044,5064.0,3801.0,1.0
"yf[1, 22]",19.21,5.011,10.0,26.0,0.067,0.049,5658.0,3939.0,1.0
"yf[1, 23]",5.032,2.799,1.0,9.0,0.039,0.029,5158.0,3807.0,1.0
"yf[1, 24]",5.748,2.978,1.0,10.0,0.041,0.03,5262.0,3625.0,1.0
"yf[1, 25]",5.828,3.023,1.0,10.0,0.041,0.031,5581.0,3501.0,1.0
"yf[1, 26]",2.424,1.897,0.0,5.0,0.028,0.02,4553.0,4116.0,1.0
"yf[1, 27]",7.589,3.44,1.0,12.0,0.048,0.035,5175.0,3677.0,1.0
"yf[1, 28]",7.35,3.374,2.0,12.0,0.048,0.034,4924.0,3840.0,1.0
"yf[1, 29]",8.031,3.436,2.0,13.0,0.047,0.034,5359.0,3786.0,1.0
"yf[1, 30]",8.596,3.638,3.0,14.0,0.049,0.036,5500.0,3763.0,1.0
"yf[1, 31]",14.116,4.393,6.0,20.0,0.065,0.046,4555.0,3566.0,1.0
"yf[1, 32]",15.26,4.575,8.0,22.0,0.066,0.047,4827.0,3576.0,1.0
"yf[1, 33]",12.802,4.296,5.0,19.0,0.061,0.044,4999.0,3556.0,1.0
"yf[1, 34]",15.098,4.6,8.0,22.0,0.063,0.045,5378.0,3833.0,1.0
"yf[1, 35]",20.296,5.127,12.0,28.0,0.069,0.049,5581.0,4203.0,1.0
"yf[1, 36]",26.821,5.468,18.0,35.0,0.08,0.057,4719.0,3708.0,1.0
"yf[1, 37]",12.997,4.279,6.0,19.0,0.062,0.044,4856.0,3920.0,1.0
"yf[1, 38]",8.422,3.484,2.0,13.0,0.049,0.035,5014.0,3667.0,1.0
"yf[1, 39]",8.978,3.586,3.0,14.0,0.053,0.038,4533.0,3616.0,1.0
"yf[1, 40]",9.857,3.893,3.0,15.0,0.054,0.038,5404.0,3742.0,1.0
"yf[1, 41]",6.068,3.02,1.0,10.0,0.045,0.032,4391.0,4068.0,1.0
"yf[1, 42]",9.012,3.735,3.0,14.0,0.057,0.043,4387.0,3421.0,1.0
"yf[1, 43]",7.363,3.345,2.0,12.0,0.046,0.034,5253.0,4077.0,1.0
"yf[1, 44]",30.254,5.667,21.0,39.0,0.078,0.056,5231.0,3789.0,1.0
"yf[1, 45]",19.73,5.004,11.0,27.0,0.07,0.05,5148.0,3874.0,1.0
"yf[1, 46]",17.395,4.808,10.0,25.0,0.071,0.051,4606.0,3928.0,1.0
